subject,event_trial_index,behavior_trial_index,stimulus,stimulus_key,event_label,onset_samples,end_samples,onset_seconds,end_seconds,duration_seconds,sampling_frequency_hz,recording_duration_seconds,match_status,validation_issues,eeg_set_path,eeg_fdt_path,events_path,behavior_path,valence,arousal,dominance,liking,familiarity,relevance,emotionCateg,Quadrant,FivePointScale,MouseClick
sub-mit003,11.0,11.0,24.mp4,24,24_11,450530.238491,465654.739034,1802.1209539640001,1862.6189561360002,60.49800217200004,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,1.0,8.86,6.0,1.0,5.0,3.42,"{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}",HVHA,['very much'],[52.96306586265564]
sub-mit004,1.0,1.0,neutral_1.mp4,neutral_1,neutral_1_1,62440.374959,77564.875502,249.761499836,310.25950200799997,60.49800217199996,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,4.9,6.06,5.1,5.0,1.0,1.05,{},,,
sub-mit004,2.0,2.0,1.mp4,1,1_2,88088.123593,103212.875593,352.35249437199997,412.851502372,60.49900800000006,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,3.03,6.08,5.1,2.0,5.0,1.14,{},,,
sub-mit004,3.0,3.0,13.m4v,13,13_3,110751.689134,125876.43862,443.006756536,503.50575448,60.498997943999996,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,7.95,5.96,5.02,5.0,5.0,1.94,"{'0': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}",HVHA,['quit a bit'],[44.86700415611267]
sub-mit004,4.0,4.0,9.m4v,9,9_4,142660.188863,157784.938348,570.640755452,631.139753392,60.49899793999998,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,8.9,8.76,7.99,5.0,5.0,3.97,"{'1': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}",HVHA,"['very much', 'moderately']","[30.34561586380005, 42.38183403015137]"
sub-mit004,5.0,5.0,5.mp4,5,5_5,184314.687831,199439.188374,737.258751324,797.756753496,60.49800217200004,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,2.07,7.33,6.99,1.0,2.0,3.91,"{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}",HVHA,"['not at all', 'very much']","[15.260479927062988, 46.70497989654541]"
sub-mit004,6.0,6.0,neutral_2.mp4,neutral_2,neutral_2_6,220803.974365,235928.723851,883.21589746,943.714895404,60.49899794400005,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,4.04,6.04,6.18,3.0,1.0,1.19,"{'0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}",HVHA,['a little'],[26.4975848197937]
sub-mit004,7.0,7.0,15.mp4,15,15_7,261346.972623,276471.473166,1045.387890492,1105.885892664,60.49800217200004,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,3.61,5.93,6.95,2.0,4.0,1.16,{},,,
sub-mit004,8.0,8.0,23.mp4,23,23_8,291428.973508,306553.722994,1165.715894032,1226.214891976,60.49899794399994,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,8.97,6.77,5.02,5.0,4.0,3.03,"{'1': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}",HVHA,"['quit a bit', 'very much']","[19.110961198806763, 40.37492299079895]"
sub-mit004,9.0,9.0,8.m4v,8,8_9,324005.974439,339130.723925,1296.023897756,1356.5228957,60.49899794399994,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,6.81,6.83,5.0,4.0,4.0,4.03,{},,,
sub-mit004,10.0,10.0,4.mp4,4,4_10,349637.224974,364761.974459,1398.548899896,1459.047897836,60.49899793999998,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,2.24,5.23,5.06,2.0,1.0,1.11,"{'0': [u'', u'', u'', u'', u'weird']}",HVHA,['moderately'],[44.80400085449219]
sub-mit004,11.0,11.0,7.mp4,7,7_11,394793.724158,409918.473644,1579.1748966320001,1639.673894576,60.49899794399994,250.0,1722.104,matched,,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.set,sub-mit004/eeg/sub-mit004_task-Emotion_eeg.fdt,sub-mit004/eeg/sub-mit004_task-emotion_events.tsv,sub-mit004/beh/sub-mit004_task-Emotion_beh.tsv,2.09,4.9,6.06,2.0,1.0,1.0,"{'0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}",HVHA,['moderately'],[40.03883504867554]
sub-mit007,1.0,1.0,neutral_1.mp4,neutral_1,neutral_1_1,40901.93063,56026.179716,163.60772252,224.104718864,60.496996343999996,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,4.92,1.95,1.35,1.0,1.0,1.0,{},,,
sub-mit007,2.0,2.0,27.mp4,27,27_2,66910.429671,82038.930897,267.641718684,328.155723588,60.51400490399999,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.06,1.0,2.92,1.0,2.0,1.99,"{'0': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}",HVHA,['quit a bit'],[41.86781716346741]
sub-mit007,3.0,3.0,15.mp4,15,15_3,106537.177911,121661.429511,426.148711644,486.645718044,60.497006399999975,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.1,6.87,2.05,1.0,1.0,2.32,"{'0': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}",HVHA,['moderately'],[51.39900207519531]
sub-mit007,4.0,4.0,24.mp4,24,24_4,148462.928677,163587.42922,593.8517147079999,654.34971688,60.49800217200004,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.0,1.03,1.0,1.0,1.0,1.0,"{'1': [u'', u'', u'Despondent: In low spirits from loss of hope or courage.', u'', ''], '0': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}",HVHA,"['moderately', 'moderately']","[17.771009922027588, 46.73448991775513]"
sub-mit007,5.0,5.0,5.mp4,5,5_5,189783.678701,204908.179244,759.1347148039999,819.632716976,60.49800217200004,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.03,7.01,2.99,1.0,1.0,3.21,"{'0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,['very much'],[9.19687294960022]
sub-mit007,6.0,6.0,9.m4v,9,9_6,228805.17797,243929.42957,915.22071188,975.71771828,60.49700640000003,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,6.93,6.93,6.02,4.0,5.0,1.0,{},,,
sub-mit007,7.0,7.0,12.m4v,12,12_7,256282.679303,271406.928388,1025.130717212,1085.627713552,60.496996339999896,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,8.45,7.12,7.06,4.0,3.0,4.56,"{'1': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}",HVHA,"['quit a bit', 'moderately']","[8.463083267211914, 52.3169481754303]"
sub-mit007,8.0,9.0,neutral_2.mp4,neutral_2,neutral_2_9,333193.456916,348317.708517,1332.773827664,1393.270834068,60.4970064040001,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,5.0,1.05,5.02,1.0,1.0,1.0,{},,,
sub-mit007,9.0,10.0,16.mp4,16,16_10,359318.956429,374443.20803,1437.275825716,1497.77283212,60.497006403999876,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.0,3.46,1.1,1.0,2.0,1.08,"{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}",HVHA,"['quit a bit', 'moderately']","[14.138597249984741, 57.074254274368286]"
sub-mit007,10.0,11.0,1.mp4,1,1_11,402392.45796,417516.707046,1609.56983184,1670.066828184,60.49699634400008,250.0,1735.212,matched,,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.2,4.96,1.59,3.0,5.0,1.0,{},,,
sub-mit007,,8.0,7.mp4,7,,,,,,,250.0,1735.212,behavior_only,missing_stimulus_event,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.set,sub-mit007/eeg/sub-mit007_task-Emotion_eeg.fdt,sub-mit007/eeg/sub-mit007_task-emotion_events.tsv,sub-mit007/beh/sub-mit007_task-Emotion_beh.tsv,1.0,6.37,3.86,2.0,1.0,1.0,"{'1': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '0': [u'', u'', u'', u'', '']}",HVHA,"['not at all', 'moderately']","[1.2621161937713623, 50.725056171417236]"
sub-mit014,1.0,1.0,neutral_1.mp4,neutral_1,neutral_1_1,38326.698169,53450.947255,153.30679267600001,213.80378902,60.496996343999996,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,5.04,1.0,5.0,3.0,1.0,1.01,"{'1': [u'', u'', u'', u'Pensive: Engaged in, involving, or reflecting deep or serious thought.', ''], '0': [u'', u'', u'', u'Calm: Not showing or feeling nervousness, anger, or other strong emotions', ''], '2': [u'', u'', u'', u'Pensive: Engaged in, involving, or reflecting deep or serious thought.', '']}",HVHA,"['quit a bit', 'a little', 'moderately']","[19.767921209335327, 31.219616174697876, 54.02315902709961]"
sub-mit014,2.0,2.0,15.mp4,15,15_2,84385.179216,99509.430816,337.540716864,398.03772326399996,60.497006399999975,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,7.03,9.0,7.95,5.0,5.0,1.0,"{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '0': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '3': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '2': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}",HVHA,"['quit a bit', 'very much', 'quit a bit', 'a little']","[18.042349815368652, 21.83195185661316, 36.03804683685303, 49.409679889678955]"
sub-mit014,3.0,3.0,3.mp4,3,3_3,143275.9305,158400.179585,573.103722,633.6007183400001,60.49699634000012,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,9.0,4.94,4.85,5.0,5.0,2.96,"{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '0': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '2': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}",HVHA,"['very much', 'very much', 'very much']","[12.741850137710571, 24.811300039291382, 54.042031049728394]"
sub-mit014,4.0,4.0,7.mp4,7,7_4,177697.929973,192826.428683,710.791719892,771.3057147320001,60.51399484000012,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,3.94,6.35,2.69,4.0,1.0,1.0,"{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '2': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}",HVHA,"['quit a bit', 'quit a bit', 'moderately']","[17.88127827644348, 36.9453341960907, 50.33358430862427]"
sub-mit014,5.0,5.0,neutral_2.mp4,neutral_2,neutral_2_5,226722.930605,241847.17969,906.89172242,967.38871876,60.49699634000001,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,5.0,1.0,4.98,3.0,1.0,1.0,"{'0': [u'', u'', u'', u'Calm: Not showing or feeling nervousness, anger, or other strong emotions', '']}",HVHA,['quit a bit'],[21.02174425125122]
sub-mit014,6.0,6.0,16.mp4,16,16_6,264433.67959,279557.928676,1057.73471836,1118.2317147039998,60.496996343999854,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,3.98,6.99,3.44,3.0,5.0,1.0,"{'1': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '3': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,"['moderately', 'very much', 'very much', 'quit a bit']","[10.573665142059326, 20.3893940448761, 30.822926998138428, 58.000126123428345]"
sub-mit014,7.0,7.0,27.mp4,27,27_7,302791.652311,317916.15034,1211.166609244,1271.66460136,60.49799211599998,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,3.65,1.0,1.0,4.0,1.0,2.02,"{'1': [u'', u'', u'Melancholic: Feeling or expressing pensive sadness', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}",HVHA,"['moderately', 'moderately']","[30.241304874420166, 54.58066201210022]"
sub-mit014,8.0,8.0,4.mp4,4,4_8,341516.650976,356640.900061,1366.066603904,1426.563600244,60.49699634000012,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,1.0,6.72,2.26,2.0,5.0,1.0,"{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}",HVHA,"['quit a bit', 'quit a bit', 'very much']","[4.669389963150024, 40.84430909156799, 46.737112045288086]"
sub-mit014,9.0,9.0,24.mp4,24,24_9,383075.400111,398199.651711,1532.301600444,1592.798606844,60.49700639999992,250.0,1659.0,matched,,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.set,sub-mit014/eeg/sub-mit014_task-Emotion_eeg.fdt,sub-mit014/eeg/sub-mit014_task-emotion_events.tsv,sub-mit014/beh/sub-mit014_task-Emotion_beh.tsv,3.23,6.85,2.01,3.0,5.0,1.0,"{'1': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '0': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}",HVHA,"['quit a bit', 'very much']","[29.46399688720703, 41.333040952682495]"
sub-mit017,1.0,1.0,neutral_1.mp4,neutral_1,neutral_1_1,55653.160455,70781.659165,222.61264182,283.12663666000003,60.51399484000004,250.0,1622.348,matched,,sub-mit017/eeg/sub-mit017_task-Emotion_eeg.set,sub-mit017/eeg/sub-mit017_task-Emotion_eeg.fdt,sub-mit017/eeg/sub-mit017_task-emotion_events.tsv,sub-mit017/beh/sub-mit017_task-Emotion_beh.tsv,5.04,2.49,7.74,2.0,2.0,2.04,"{'0': [u'', u'', u'', u'Calm: Not showing or feeling nervousness, anger, or other strong emotions', '']}",HVHA,['not at all'],[40.000083208084106]
sub-mit017,2.0,2.0,5.mp4,5,5_2,96339.660248,111463.909334,385.358640992,445.855637336,60.49699634399997,250.0,1622.348,matched,,sub-mit017/eeg/sub-mit017_task-Emotion_eeg.set,sub-mit017/eeg/sub-mit017_task-Emotion_eeg.fdt,sub-mit017/eeg/sub-mit017_task-emotion_events.tsv,sub-mit017/beh/sub-mit017_task-Emotion_beh.tsv,2.67,6.1,2.49,2.0,2.0,1.0,"{'0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}",HVHA,['not at all'],[8.452497959136963]
