sample_id,subject,cohort_role,trial,split_group,window_index,start_sample,stop_sample,fif_path,qc_status,valence_label,arousal_label,quadrant_label,sample_weight,start_seconds,end_seconds,samples,sampling_rate_hz,valence,arousal,eligible_valence_binary_fixed5,label_valence_binary_fixed5,eligible_arousal_binary_fixed5,label_arousal_binary_fixed5,eligible_quadrant_fixed5,label_quadrant_fixed5
sub-mit003_trial-01_window-013,sub-mit003,modeling_primary,1,sub-mit003_trial-01,13,6000,7000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,24.0,28.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-014,sub-mit003,modeling_primary,1,sub-mit003_trial-01,14,6500,7500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,26.0,30.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-015,sub-mit003,modeling_primary,1,sub-mit003_trial-01,15,7000,8000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,28.0,32.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-016,sub-mit003,modeling_primary,1,sub-mit003_trial-01,16,7500,8500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,30.0,34.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-019,sub-mit003,modeling_primary,1,sub-mit003_trial-01,19,9000,10000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,36.0,40.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-020,sub-mit003,modeling_primary,1,sub-mit003_trial-01,20,9500,10500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,38.0,42.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-021,sub-mit003,modeling_primary,1,sub-mit003_trial-01,21,10000,11000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,40.0,44.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-022,sub-mit003,modeling_primary,1,sub-mit003_trial-01,22,10500,11500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,42.0,46.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-024,sub-mit003,modeling_primary,1,sub-mit003_trial-01,24,11500,12500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,46.0,50.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-025,sub-mit003,modeling_primary,1,sub-mit003_trial-01,25,12000,13000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,48.0,52.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-026,sub-mit003,modeling_primary,1,sub-mit003_trial-01,26,12500,13500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,50.0,54.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-027,sub-mit003,modeling_primary,1,sub-mit003_trial-01,27,13000,14000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,52.0,56.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-028,sub-mit003,modeling_primary,1,sub-mit003_trial-01,28,13500,14500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,54.0,58.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-029,sub-mit003,modeling_primary,1,sub-mit003_trial-01,29,14000,15000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,56.0,60.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-004,sub-mit003,modeling_primary,2,sub-mit003_trial-02,4,1500,2500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,6.0,10.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-005,sub-mit003,modeling_primary,2,sub-mit003_trial-02,5,2000,3000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,8.0,12.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-006,sub-mit003,modeling_primary,2,sub-mit003_trial-02,6,2500,3500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,10.0,14.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-007,sub-mit003,modeling_primary,2,sub-mit003_trial-02,7,3000,4000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,12.0,16.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-008,sub-mit003,modeling_primary,2,sub-mit003_trial-02,8,3500,4500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,14.0,18.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-009,sub-mit003,modeling_primary,2,sub-mit003_trial-02,9,4000,5000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,16.0,20.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-010,sub-mit003,modeling_primary,2,sub-mit003_trial-02,10,4500,5500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,18.0,22.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-011,sub-mit003,modeling_primary,2,sub-mit003_trial-02,11,5000,6000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,20.0,24.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-012,sub-mit003,modeling_primary,2,sub-mit003_trial-02,12,5500,6500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,22.0,26.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-013,sub-mit003,modeling_primary,2,sub-mit003_trial-02,13,6000,7000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,24.0,28.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-014,sub-mit003,modeling_primary,2,sub-mit003_trial-02,14,6500,7500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,26.0,30.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-015,sub-mit003,modeling_primary,2,sub-mit003_trial-02,15,7000,8000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,28.0,32.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-016,sub-mit003,modeling_primary,2,sub-mit003_trial-02,16,7500,8500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,30.0,34.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-017,sub-mit003,modeling_primary,2,sub-mit003_trial-02,17,8000,9000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,32.0,36.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-018,sub-mit003,modeling_primary,2,sub-mit003_trial-02,18,8500,9500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,34.0,38.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-019,sub-mit003,modeling_primary,2,sub-mit003_trial-02,19,9000,10000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,36.0,40.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-024,sub-mit003,modeling_primary,2,sub-mit003_trial-02,24,11500,12500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,46.0,50.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-025,sub-mit003,modeling_primary,2,sub-mit003_trial-02,25,12000,13000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,48.0,52.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-027,sub-mit003,modeling_primary,2,sub-mit003_trial-02,27,13000,14000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,52.0,56.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-028,sub-mit003,modeling_primary,2,sub-mit003_trial-02,28,13500,14500,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,54.0,58.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-02_window-029,sub-mit003,modeling_primary,2,sub-mit003_trial-02,29,14000,15000,data/processed/sub-mit003/trials/sub-mit003_trial-02_eeg.fif,pass,high,high,HVHA,0.047619047619047616,56.0,60.0,1000,250,9.0,9.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-001,sub-mit003,modeling_primary,3,sub-mit003_trial-03,1,0,1000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,0.0,4.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-002,sub-mit003,modeling_primary,3,sub-mit003_trial-03,2,500,1500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,2.0,6.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-003,sub-mit003,modeling_primary,3,sub-mit003_trial-03,3,1000,2000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,4.0,8.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-004,sub-mit003,modeling_primary,3,sub-mit003_trial-03,4,1500,2500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,6.0,10.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-005,sub-mit003,modeling_primary,3,sub-mit003_trial-03,5,2000,3000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,8.0,12.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-006,sub-mit003,modeling_primary,3,sub-mit003_trial-03,6,2500,3500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,10.0,14.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-007,sub-mit003,modeling_primary,3,sub-mit003_trial-03,7,3000,4000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,12.0,16.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-008,sub-mit003,modeling_primary,3,sub-mit003_trial-03,8,3500,4500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,14.0,18.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-012,sub-mit003,modeling_primary,3,sub-mit003_trial-03,12,5500,6500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,22.0,26.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-013,sub-mit003,modeling_primary,3,sub-mit003_trial-03,13,6000,7000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,24.0,28.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-015,sub-mit003,modeling_primary,3,sub-mit003_trial-03,15,7000,8000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,28.0,32.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-016,sub-mit003,modeling_primary,3,sub-mit003_trial-03,16,7500,8500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,30.0,34.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-019,sub-mit003,modeling_primary,3,sub-mit003_trial-03,19,9000,10000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,36.0,40.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-020,sub-mit003,modeling_primary,3,sub-mit003_trial-03,20,9500,10500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,38.0,42.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-024,sub-mit003,modeling_primary,3,sub-mit003_trial-03,24,11500,12500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,46.0,50.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-025,sub-mit003,modeling_primary,3,sub-mit003_trial-03,25,12000,13000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,48.0,52.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-026,sub-mit003,modeling_primary,3,sub-mit003_trial-03,26,12500,13500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,50.0,54.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-027,sub-mit003,modeling_primary,3,sub-mit003_trial-03,27,13000,14000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,52.0,56.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-028,sub-mit003,modeling_primary,3,sub-mit003_trial-03,28,13500,14500,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,54.0,58.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-03_window-029,sub-mit003,modeling_primary,3,sub-mit003_trial-03,29,14000,15000,data/processed/sub-mit003/trials/sub-mit003_trial-03_eeg.fif,pass,high,high,HVHA,0.05,56.0,60.0,1000,250,7.01,6.0,True,high,True,high,True,HVHA
sub-mit003_trial-04_window-002,sub-mit003,modeling_primary,4,sub-mit003_trial-04,2,500,1500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,2.0,6.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-003,sub-mit003,modeling_primary,4,sub-mit003_trial-04,3,1000,2000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,4.0,8.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-004,sub-mit003,modeling_primary,4,sub-mit003_trial-04,4,1500,2500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,6.0,10.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-005,sub-mit003,modeling_primary,4,sub-mit003_trial-04,5,2000,3000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,8.0,12.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-006,sub-mit003,modeling_primary,4,sub-mit003_trial-04,6,2500,3500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,10.0,14.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-007,sub-mit003,modeling_primary,4,sub-mit003_trial-04,7,3000,4000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,12.0,16.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-008,sub-mit003,modeling_primary,4,sub-mit003_trial-04,8,3500,4500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,14.0,18.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-009,sub-mit003,modeling_primary,4,sub-mit003_trial-04,9,4000,5000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,16.0,20.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-010,sub-mit003,modeling_primary,4,sub-mit003_trial-04,10,4500,5500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,18.0,22.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-011,sub-mit003,modeling_primary,4,sub-mit003_trial-04,11,5000,6000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,20.0,24.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-012,sub-mit003,modeling_primary,4,sub-mit003_trial-04,12,5500,6500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,22.0,26.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-013,sub-mit003,modeling_primary,4,sub-mit003_trial-04,13,6000,7000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,24.0,28.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-014,sub-mit003,modeling_primary,4,sub-mit003_trial-04,14,6500,7500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,26.0,30.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-015,sub-mit003,modeling_primary,4,sub-mit003_trial-04,15,7000,8000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,28.0,32.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-016,sub-mit003,modeling_primary,4,sub-mit003_trial-04,16,7500,8500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,30.0,34.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-017,sub-mit003,modeling_primary,4,sub-mit003_trial-04,17,8000,9000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,32.0,36.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-018,sub-mit003,modeling_primary,4,sub-mit003_trial-04,18,8500,9500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,34.0,38.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-019,sub-mit003,modeling_primary,4,sub-mit003_trial-04,19,9000,10000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,36.0,40.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-021,sub-mit003,modeling_primary,4,sub-mit003_trial-04,21,10000,11000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,40.0,44.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-022,sub-mit003,modeling_primary,4,sub-mit003_trial-04,22,10500,11500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,42.0,46.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-023,sub-mit003,modeling_primary,4,sub-mit003_trial-04,23,11000,12000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,44.0,48.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-024,sub-mit003,modeling_primary,4,sub-mit003_trial-04,24,11500,12500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,46.0,50.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-025,sub-mit003,modeling_primary,4,sub-mit003_trial-04,25,12000,13000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,48.0,52.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-026,sub-mit003,modeling_primary,4,sub-mit003_trial-04,26,12500,13500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,50.0,54.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-027,sub-mit003,modeling_primary,4,sub-mit003_trial-04,27,13000,14000,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,52.0,56.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-04_window-028,sub-mit003,modeling_primary,4,sub-mit003_trial-04,28,13500,14500,data/processed/sub-mit003/trials/sub-mit003_trial-04_eeg.fif,pass,low,high,LVHA,0.038461538461538464,54.0,58.0,1000,250,1.05,7.1,True,low,True,high,True,LVHA
sub-mit003_trial-05_window-002,sub-mit003,modeling_primary,5,sub-mit003_trial-05,2,500,1500,data/processed/sub-mit003/trials/sub-mit003_trial-05_eeg.fif,pass,low,high,LVHA,0.037037037037037035,2.0,6.0,1000,250,1.0,7.95,True,low,True,high,True,LVHA
sub-mit003_trial-05_window-003,sub-mit003,modeling_primary,5,sub-mit003_trial-05,3,1000,2000,data/processed/sub-mit003/trials/sub-mit003_trial-05_eeg.fif,pass,low,high,LVHA,0.037037037037037035,4.0,8.0,1000,250,1.0,7.95,True,low,True,high,True,LVHA
sub-mit003_trial-05_window-004,sub-mit003,modeling_primary,5,sub-mit003_trial-05,4,1500,2500,data/processed/sub-mit003/trials/sub-mit003_trial-05_eeg.fif,pass,low,high,LVHA,0.037037037037037035,6.0,10.0,1000,250,1.0,7.95,True,low,True,high,True,LVHA
